,Ultimate Parent Name,Country,Ultimate Parent ISIN,Latitude,Longitude,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
4768,ICICI Bank,India,INE090A01021,28.5274,77.57825,83,79,75,74,75,71,69,74
167,India,India,,25.61053,85.14168,59,56,54,50,50,49,50,51
5132,China,China,,25.58478,111.9452,71,73,77,78,80,82,83,85
17989,Groupe BPCE,France,,48.79804,2.485429,70,72,71,77,79,81,83,84
48994,Banco de Sabadell S.A.,Spain,ES0113860A34,38.62073,-0.57889,79,83,83,86,89,90,92,92
51775,Israel Discount Bank,Israel,IL0006912120,32.81236,35.0659,70,72,75,76,77,79,80,81
56397,Abu Dhabi Islamic Bank PJSC,Egypt,AEA000801018,30.17454,31.47577,74,71,77,80,84,85,86,87
20993,Woori Financial Group Inc.,South Korea,KR7316140003,37.51723,126.8894,79,78,78,78,85,83,85,86
22431,Tencent Holdings Ltd.,China,KYG875721634,39.907806,116.397583,78,79,78,75,78,76,77,78
47113,Telefonaktiebolaget LM Ericsso,Norway,SE0000108656,59.894637,10.628158,68,67,67,71,74,74,76,78
42000,Chongqing Rural Commercial,China,CNE100000X44,29.52797,106.4875,67,68,65,70,75,77,78,80
23362,India,India,,26.2601,92.2275,61,66,61,64,66,71,73,75
2759,SoftBank Group Corp.,India,JP3436100006,12.984276,77.692885,80,79,77,75,76,76,76,76
38939,Ministry of Finance,Poland,,50.09741,20.02033,69,72,71,79,83,85,88,89
2230,AptaBio Therapeutics Inc.,South Korea,KR7293780003,37.27348,127.06925,76,76,75,76,83,83,85,87
35940,Unicaja Banco S.A.,Spain,ES0180907000,43.53208,-5.65625,66,67,66,70,70,73,77,78
1740,India,India,,27.22788,77.49222,79,75,72,72,71,68,66,72
3698,India,India,,26.43314,80.32195,78,75,72,71,70,70,67,71
36370,JG Summit Holdings Inc.,Philippines,PHY444251177,14.35228,121.06201,77,76,75,79,79,80,81,82
18980,Banco Comercial Português S.A.,Portugal,PTBCP0AM0015,41.73793,-7.36546,76,77,78,83,85,85,89,90
18504,RWE Aktiengesellschaft,Germany,DE0007037129,49.77878,9.18237,77,80,74,77,82,84,87,88
15045,Erste Group Bank,Czech Republic,AT0000652011,50.15617,15.45872,66,70,69,72,78,82,85,85
18277,India,India,,16.54513,81.52964,65,61,54,58,60,61,63,65
2785,India,India,,31.95196,77.10938,76,74,70,74,76,77,78,79
19025,JBS S.A.,United Kingdom,BRJBSSACNOR8,52.7432,-0.189476,75,77,77,83,87,88,91,91
22254,India,India,,13.33864,77.10122,80,78,76,76,75,76,75,75
31335,China,China,,30.04038,120.88,69,71,71,76,78,77,79,81
36774,TotalEnergies SE,United Kingdom,FR0000120271,57.0,1.833333,27,28,24,21,22,22,22,23
18904,Bank of Africa,Kenya,MA0000012437,-1.34364,36.76557,63,61,60,60,60,62,62,64
33306,China,China,,34.63977,112.4095,72,78,79,78,80,81,80,82
8599,Staples Inc.,Italy,,45.442968,9.040909,69,73,67,74,78,80,86,86
41322,Citigroup Inc.,Switzerland,US1729674242,46.20414,6.14881,68,68,63,68,72,73,77,76
10403,ICICI Bank,India,INE090A01021,27.18724,88.5036,59,60,62,63,64,66,66,68
22062,LVMH Moët Hennessy - Louis Vui,France,FR0000121014,48.93604279,2.365006924,67,69,68,74,76,79,81,81
8092,ICICI Bank,India,INE090A01021,28.68815,77.34359,65,58,52,51,52,47,46,52
28736,China,China,,31.17317,121.4522,79,80,81,84,86,86,87,88
3888,China,China,,37.85672,113.5804,64,61,58,57,54,57,56,56
13095,India,India,,23.01685,72.56741,76,75,75,70,73,72,72,73
55694,Ålandsbanken,Finland,FI0009000103,65.01206,25.47131,65,64,64,71,73,74,75,79
21428,China Vanke Co,China,CNE0000000T2,43.75741,87.62552,80,80,79,80,81,81,82,85
