,Ultimate Parent Name,Country,Ultimate Parent ISIN,Latitude,Longitude,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
34648,Walgreens Boots Alliance Inc.,United Kingdom,US9314271084,53.8547204,-1.6870888,76,77,75,78,81,83,86,89
38523,BNP Paribas,Turkey,FR0000131104,41.19518,32.6179,67,68,70,75,76,80,83,83
13127,Powszechny Zaklad Ubezpieczen,Poland,PLPZU0000011,50.72798,23.25108,68,70,70,72,77,77,79,81
34050,Vastned Retail N.V.,Netherlands,NL0000288918,51.688919,5.30682,77,81,81,85,86,87,89,89
54772,Shell plc,United Kingdom,GB00BP6MXD84,51.7112,-4.9881,69,71,71,76,77,78,82,85
54377,India,India,,19.0849,72.83826,46,55,56,54,57,59,64,65
3999,India,India,,22.30398,70.80213,77,74,75,75,74,76,76,78
7028,India,India,,31.1045,77.17429,85,82,80,81,82,82,82,84
6098,Banque Centrale Populaire,Morocco,MA0000011884,34.26303,-5.92194,77,80,79,81,83,85,88,89
3254,India,India,,19.0444,73.0644,49,54,57,54,57,58,62,63
46511,Société Générale Société anony,Romania,FR0000130809,44.9592,24.94478,74,77,80,84,86,87,90,91
21084,Swiss Prime Site AG,Switzerland,CH0008038389,46.95852,7.4686,72,73,69,68,73,73,77,77
20797,ICICI Bank,India,INE090A01021,25.64709,85.08693,59,56,54,50,50,49,50,51
6964,Primary Health Ppty Plc,United Kingdom,GB00BYRJ5J14,55.90354,-3.15517,70,75,73,77,77,82,83,86
44919,Banco Santander S.A.,Poland,ES0113900J37,51.95967,20.14387,70,69,70,74,75,76,75,79
4705,India,India,,17.51767,78.46333,83,81,79,76,79,76,75,75
21187,Guangzhou R&F Properties Co.,China,CNE100000569,23.117378,113.321708,63,64,62,64,68,67,69,72
47308,Vodafone Grp Public Ltd. Co.,United Kingdom,GB00BH4HKS39,53.6820627,-1.4972223,72,73,71,73,76,77,80,82
5789,China,China,,32.21188,119.4419,63,64,64,68,71,71,71,74
8092,Currys Plc,Finland,GB00B4Y7R145,60.283789,24.969152,67,67,69,79,83,84,87,89
30690,Henderson Dev. Ltd.,China,,31.24766,121.44605,79,80,81,84,86,86,87,88
1511,Industrial Bank,China,CNE000001QZ7,47.3185,123.9511,69,66,68,69,71,71,73,74
32395,Crédit Mutuel Group,France,,45.89548,4.433111,71,72,68,72,78,79,85,85
16566,Walgreens Boots Alliance Inc.,United Kingdom,US9314271084,52.6762587,-2.4462613,74,76,76,79,84,86,90,91
49003,BAWAG Group AG,Austria,AT0000BAWAG2,47.38102,15.0958,67,73,67,70,75,76,79,80
4492,ICICI Bank,India,INE090A01021,28.41971,77.03868,79,77,72,72,72,69,68,72
7472,Deutsche Bk Aktiengesellschaft,Germany,DE0005140008,52.11426,8.66927,76,76,72,75,78,80,82,83
8667,Tate & Lyle plc,Spain,GB00BP92CJ43,41.67679,-0.87324,70,70,68,72,73,76,78,78
42815,AURELIUS Eqty Opportunities SE,United Kingdom,DE000A0JK2A8,53.4239899,-2.9360617,69,70,68,71,74,76,77,81
6889,Bank of Comms Co. Ltd.,China,CNE100000205,23.12842,113.2303,63,64,63,64,69,67,69,72
32370,TotalEnergies SE,Nigeria,FR0000120271,4.968186,7.367868,69,72,67,70,69,68,71,73
25161,National Bank Greece S.A.,Greece,GRS003003035,38.03052,23.70059,76,81,81,84,85,85,88,88
13731,BNP Paribas,Morocco,FR0000131104,30.43002,-9.59508,56,68,68,70,74,76,78,80
19308,India,India,,27.22696,79.01444,82,79,75,74,73,71,68,73
46159,Union Global Partners Ltd.,Nigeria,,4.67278,7.37028,64,68,63,67,67,67,71,74
12873,Sacombank,Vietnam,VN000000STB4,10.66964,105.5638,66,65,66,66,68,66,68,63
36135,China,China,,32.74774,120.1678,68,69,70,76,78,81,81,84
41423,Caisse Régionale de Crédit Agr,France,,48.34635,-2.75701,82,84,82,88,89,91,93,94
1685,Dow Inc.,Belgium,US2605571031,50.5118,4.2611,83,85,84,87,89,91,93,94
1055,Crédit Agricole Group,Italy,,44.80928,10.2908,67,69,66,70,76,79,83,83
29801,India,India,,23.78838,86.81907,65,61,56,53,57,51,56,60
10217,India,India,,23.34417,85.30957,61,58,55,55,53,54,54,61
48110,China,China,,29.33596,90.28694,67,62,64,64,69,75,76,82
15651,Beijing Finl St Invt Grp,China,,39.912288,116.365867,78,79,78,69,72,70,72,72
16678,India,India,,11.93985,79.81728,63,58,60,60,62,64,64,64
22721,Commerzbank,Czech Republic,DE000CBK1001,49.20985,16.5888,63,66,65,68,71,74,76,78
36965,Luxembourg,Luxembourg,,49.59984,6.13312,71,72,70,74,76,76,81,82
30972,Erste Group Bank,Austria,AT0000652011,47.44656,12.39078,72,75,69,72,75,76,80,79
43177,China,China,,41.11744,121.1458,73,74,71,75,75,73,78,79
1195,India,India,,30.91303,76.19378,81,77,74,75,76,73,70,75
7927,Intesa Sanpaolo S.p.A.,Italy,IT0000072618,38.19653,13.33215,74,76,74,78,79,80,83,85
54972,RWE Aktiengesellschaft,Austria,DE0007037129,46.99429,13.04474,75,75,72,74,77,74,81,78
35879,India,India,,20.09883,85.9148,63,62,58,58,58,62,69,69
51047,Intesa Sanpaolo S.p.A.,Italy,IT0000072618,44.36028,8.57585,74,76,72,76,79,83,87,86
7838,BSA SA,Italy,,45.689722,9.775833,70,73,68,74,77,81,86,85
40440,UniCredit S.p.A.,Bosnia and Herzegovina,IT0005239360,44.76668,16.66667,70,73,66,71,77,80,85,85
27935,Northumbrian Water Group,United Kingdom,GB0033029744,54.804618,-1.582284,72,75,74,77,80,84,88,90
37354,Alpha Services & Holdings S.A.,Romania,GRS015003007,44.464739,26.088714,73,75,78,79,80,81,83,84
5657,Hammerson Plc,Ireland,GB00BK7YQK64,53.45192,-6.21611,70,74,74,80,81,84,86,89
12942,Sparebanken Hedmark,Norway,,61.57136,11.04875,72,76,73,77,80,81,84,87
10545,The ODP Corp.,Spain,US88337F1057,40.478206,-3.407152,84,85,84,88,88,89,92,93
53120,A.L. Gotianun Inc.,Philippines,,10.32952,123.90509,78,80,81,86,86,86,88,87
34495,China,China,,29.78104,104.8506,67,73,72,80,84,88,89,90
36080,India,India,,23.3167,81.35,77,75,71,67,69,69,68,71
42232,Bank of Comms Co. Ltd.,China,CNE100000205,26.08272,119.3059,73,74,74,76,76,79,80,81
34515,Groupe BPCE,France,,43.92613,2.130538,73,76,74,79,81,85,88,89
13400,China,China,,36.06298,120.3233,79,80,82,80,82,84,84,87
25138,China,China,,29.51794,116.852,67,69,72,75,78,79,81,82
22992,Binohon Ltd.,Israel,,32.06349,34.77421,68,71,72,75,77,79,80,82
9109,Groupe BPCE,France,,47.24538,-1.605249,69,72,69,74,76,78,81,82
22246,China,China,,32.05007,118.7882,62,63,62,68,69,71,70,73
32542,Hilong Holding Ltd.,Ukraine,KYG4509G1055,49.393762,32.043499,64,63,62,71,78,77,81,86
49245,India,India,,26.14717,91.73554,59,63,60,61,64,70,73,76
35828,Erste Group Bank,Romania,AT0000652011,45.78959,24.14698,73,74,79,79,82,83,86,86
56415,Co-Operative,United Kingdom,,54.99451828,-7.319955826,70,72,72,75,75,78,79,81
15796,Société Générale Société anony,Romania,FR0000130809,45.0337,25.8743,80,82,81,84,86,88,90,91
22481,Kuwait Finance House K.S.C.P.,Turkey,KW0EQ0100085,40.97954,29.10599,72,77,79,82,83,85,87,88
50947,India,India,,10.08176,77.96755,77,77,74,75,74,76,75,77
14736,India,India,,25.61051,85.14166,59,56,54,50,50,49,50,51
9020,India,India,,28.67166,77.37048,80,77,73,72,72,70,69,72
42981,India,India,,10.97751,75.87985,68,69,65,69,68,70,71,72
50429,Marks & Spencer Group plc,United Kingdom,GB0031274896,51.4708355,-0.4582825,79,81,77,79,82,81,84,85
34292,Groupe BPCE,France,,48.09548,7.304917,67,72,68,72,78,83,87,88
55694,SASAC,China,,32.38959,105.7767,68,73,73,80,84,87,88,90
25299,China,China,,23.135,113.2716,63,64,62,64,68,67,69,72
56415,Kanton Aargau,Switzerland,,47.35119,8.344445,70,72,67,70,75,80,82,83
15065,Powszechny Zaklad Ubezpieczen,Poland,PLPZU0000011,49.43034,22.58682,67,72,68,76,79,81,85,87
14903,China,China,,38.93161,121.6023,65,67,68,70,75,74,77,80
6265,Beijing Rural Commercial Bank,China,,39.91441,116.2008,78,79,78,76,78,76,78,79
50006,Enel SpA,Portugal,IT0003128367,39.46815,-8.10926,77,77,77,82,82,83,88,89
31133,India,India,,22.73952,72.44263,79,78,78,74,73,73,72,73
54528,India,India,,10.98081,79.66003,73,71,71,71,72,77,75,76
46627,ICICI Bank,India,INE090A01021,22.24421,68.96844,76,76,79,78,80,81,82,84
26388,Metrobank Bank & Trust,Philippines,PHY6028G1361,14.67597,121.0439,78,77,75,78,79,80,82,82
7555,Kotak Mahindra Bank,India,INE237A01028,17.95322,75.13315,83,82,79,76,78,77,74,74
25260,Veolia Environnement SA,France,FR0000124141,51.0,2.22,73,77,76,83,85,87,91,92
22232,Unicaja Banco S.A.,Spain,ES0180907000,39.63773,-6.212771,72,72,73,77,77,78,83,85
9335,Banco Santander S.A.,Portugal,ES0113900J37,38.69923,-9.30543,57,56,58,62,59,61,68,69
21642,Banco Bilbao Vizcaya Argentari,Spain,ES0113211835,41.69854,-0.869216,77,79,78,83,84,87,90,90
45204,China,China,,19.61465,110.7532,71,74,76,80,82,86,88,89
25088,Jiangsu Changshu Rural Comm Bk,China,CNE100002RJ6,31.69443,120.727,67,69,68,72,75,76,78,79
9234,Unicaja Banco S.A.,Spain,ES0180907000,37.39031,-4.770407,84,85,86,88,88,90,92,93
5838,China,China,,37.04296,118.4138,77,79,75,76,75,76,78,79
25364,Banco de Sabadell S.A.,Spain,ES0113860A34,41.45389,1.960214,74,76,73,80,83,87,89,89
27940,State Jammu & Kashmir,India,,33.23192,75.24373,84,82,82,83,83,85,85,86
31071,India,India,,19.71362,75.10516,75,73,69,66,67,67,64,66
16662,China,China,,25.00817,102.7289,75,77,81,83,85,88,88,90
54853,ICICI Bank,India,INE090A01021,30.82558,74.81097,80,75,76,74,75,71,70,74
40001,Industrial Bank,China,CNE000001QZ7,23.06878,113.2851,64,65,63,65,68,67,70,72
42335,Barclays PLC,United Kingdom,GB0031348658,50.6096004,-1.9581146,69,72,71,75,77,78,84,83
14366,Warehouses De Pauw,Netherlands,BE0974349814,50.83707,6.01084,79,80,79,83,85,86,89,90
21066,Fortress REIT Ltd.,South Africa,ZAE000248498,-25.66626,27.23963,76,75,71,77,79,80,82,83
51290,China,China,,43.91848,81.31274,83,82,84,80,81,83,83,84
38024,Ministry of Finance,Poland,,52.36075,16.88232,73,75,78,81,85,87,89,90
3568,Veolia Environnement SA,France,FR0000124141,43.71,7.23,73,76,72,78,80,83,87,88
34548,China,China,,34.60382,119.1767,65,70,68,69,69,72,73,77
48304,China,China,,41.7739,123.4627,76,74,69,76,75,75,80,79
196,India,India,,22.62151,88.4142,62,61,53,54,56,53,56,61
51073,Guaranty Trust Hldg Co. Plc,Nigeria,NGGTCO000002,9.02525,7.60384,71,69,67,65,65,63,66,69
15282,BNP Paribas,Italy,FR0000131104,44.43045,8.89235,75,77,73,77,80,83,87,86
33857,India,India,,17.68941,77.62842,83,81,78,76,78,75,74,74
55398,Naturgy Energy Group S.A.,Spain,ES0116870314,42.38748,-8.125883,78,80,78,80,83,83,88,89
27999,ABN AMRO Bank N.V.,Netherlands,NL0011540547,51.49887,3.61173,66,69,66,72,72,74,78,80
40603,India,India,,10.2291,76.19835,59,60,58,62,64,65,72,72
3541,Card Factory plc,United Kingdom,GB00BLY2F708,52.0559365,-0.8514494,71,75,76,81,86,88,90,91
29988,India,India,,19.23255,79.38884,73,68,66,66,63,63,64,63
42956,Tianjin Rural Comm Bk Co. Ltd.,China,,38.98339,117.3904,65,66,60,57,58,59,61,61
30190,Eurobank Ergasias Svcs & Hldgs,Greece,GRS323003012,37.979256,23.729323,76,80,81,84,85,85,87,87
29975,Abercrombie & Fitch Co.,Germany,US0028962076,48.135125,11.581981,67,70,64,67,72,75,77,78
53623,Bank Beijing,China,CNE100000734,39.149,117.3782,78,77,73,67,68,68,70,69
39208,India,India,,25.68339,85.21222,67,64,63,59,59,58,58,59
43807,Eurobank Ergasias Svcs & Hldgs,Serbia,GRS323003012,44.80534,20.4569,64,64,63,63,66,69,74,73
2639,China,China,,39.951,116.3893,78,79,78,75,78,76,77,78
41577,Blackstone Inc.,Netherlands,US09260D1072,52.08791,4.29734,68,72,70,78,81,83,87,89
45379,South Korea,South Korea,,36.33351,127.3823,72,74,75,75,78,78,81,82
24509,Enel SpA,Italy,IT0003128367,44.11207,9.87515,73,76,73,78,81,83,87,87
1335,Tesco PLC,United Kingdom,GB00BLGZ9862,51.4986424,-3.193125,74,76,75,79,82,83,87,89
40717,Banco Bilbao Vizcaya Argentari,Spain,ES0113211835,41.06814,-2.641729,84,85,83,88,89,91,93,94
56431,Co-Operative,United Kingdom,,53.01820363,-1.33754514,75,76,75,78,82,84,88,90
29207,Barrick Gold Corp.,Tanzania,CA0679011084,-3.40736,32.70967,70,72,70,68,68,73,71,74
32968,Yapi ve Kredi Bankasi,Turkey,TRAYKBNK91N6,40.89339,26.90416,70,75,75,81,81,85,88,89
49819,Clayton Dubilier & Rice LLC,United Kingdom,,53.8245458,-0.4464051,72,74,75,79,83,85,90,91
1943,India,India,,28.34821,79.41973,79,76,73,72,72,71,70,73
21276,China,China,,28.6652,115.896,64,66,67,67,71,72,73,75
12520,Octodec Investments Ltd.,South Africa,ZAE000192258,-25.62481,28.09632,78,78,74,79,82,83,84,85
26319,Nordea Bank Abp,Denmark,FI4000297767,56.16861,9.547481,73,75,75,82,86,86,89,90
42625,India,India,,26.81949,77.91654,82,78,74,72,71,70,66,73
31729,Nyfosa AB (publ),Sweden,SE0011426428,59.37943,13.49887,66,68,67,71,75,74,76,81
32311,SASAC,China,,40.61472,96.79639,77,75,77,72,76,74,76,74
45232,India,India,,11.46338,79.54554,74,73,71,72,73,75,74,74
39027,abrdn plc,United Kingdom,GB00BF8Q6K64,55.945641,-3.223274,67,71,69,72,73,76,76,79
39985,Malayan Banking Berhad,Philippines,MYL1155OO000,14.64395,121.0745,77,76,76,79,80,81,82,82
53290,ICICI Bank,India,INE090A01021,12.92584,77.54949,71,69,66,63,64,64,64,65
54132,Groupe BPCE,France,,48.29565,4.076178,76,77,76,82,83,84,87,87
14880,United Utilities Group PLC,United Kingdom,GB00B39J2M42,53.4626,-2.91468,73,74,72,76,79,82,84,87
30542,China,China,,39.85617,109.9587,76,76,81,80,83,85,85,86
12395,AB Sagax (publ),Netherlands,SE0004635878,51.52234,6.00496,78,83,84,89,91,93,94,94
4135,RWE Aktiengesellschaft,United Kingdom,DE0007037129,54.586067,-2.120542,75,76,77,77,80,83,84,87
23746,JVCKENWOOD Corp.,Italy,JP3386410009,45.472688,9.208198,65,68,64,68,70,71,76,77
40660,Leeds Building Society,United Kingdom,,54.32976,-2.747172,73,75,74,76,77,80,82,85
44910,South Korea,South Korea,,36.97492,126.8432,75,75,77,78,83,83,86,87
45567,The Karnataka Bank,India,INE614B01018,12.98145,77.6312,80,79,77,75,76,76,76,76
9703,Intesa Sanpaolo S.p.A.,Italy,IT0000072618,44.39052,7.8207,73,78,74,77,80,83,88,87
712,Absa Group,South Africa,ZAE000255915,-33.96756,18.59536,74,74,75,77,81,83,85,89
13807,Cliq Digital AG,United Kingdom,DE000A0HHJR3,54.10399,-0.180911,71,74,72,77,82,85,89,90
1064,Banco Santander S.A.,Portugal,ES0113900J37,37.08753,-8.030782,68,68,67,67,66,65,65,65
39429,China,China,,29.33553,104.7472,66,72,72,80,84,88,88,89
11993,Wallenstam AB,Sweden,SE0017780133,57.70627,11.96781,62,63,63,68,71,71,73,76
14723,State Bank of Vietnam,Vietnam,,10.86266,106.6123,66,64,63,64,66,63,64,63
12292,KB Financial Group,South Korea,KR7105560007,37.47907,126.9996,80,81,82,81,88,87,89,90
14617,Unicaja Banco S.A.,Spain,ES0180907000,39.71854,-6.882979,76,77,77,82,82,83,87,88
30024,India,India,,25.01315,85.63424,74,74,69,66,67,63,66,68
28617,Aboitiz & Co.,Philippines,,14.1637001,121.3028183,83,81,81,84,86,86,88,88
20831,AURELIUS Eqty Opportunities SE,United Kingdom,DE000A0JK2A8,51.520189,-3.702761,73,76,75,77,80,80,84,85
32170,China,China,,31.99055,115.5962,71,75,76,77,81,78,79,80
19305,Société Générale Société anony,France,FR0000130809,48.59395,7.7721,64,67,63,68,72,76,78,78
37376,China,China,,28.15653,112.9837,67,67,69,70,74,73,75,77
788,Bank of Wenzhou Co. Ltd.,China,,29.13397,118.4035,68,70,72,76,78,80,82,83
9840,Barclays PLC,United Kingdom,GB0031348658,51.6259644,0.417679,69,72,70,75,78,78,82,83
54613,India,India,,19.03775,72.86532,46,55,56,54,57,59,64,64
23728,Publicis Groupe S.A.,Netherlands,FR0000130577,52.137189,5.24879,70,73,73,80,82,85,88,90
2810,Shaftesbury PLC,United Kingdom,GB0007990962,51.51181,-0.13243,78,81,77,80,81,80,84,85
12570,State Bank of Vietnam,Vietnam,,21.00911,107.2504,70,73,77,80,83,86,87,86
9986,A.L. Gotianun Inc.,Philippines,,14.56055,121.0192,77,76,76,79,80,81,83,82
27107,LC Corp B.V.,Poland,,51.30746,17.05935,65,70,69,74,79,81,84,85
44086,BNP Paribas,Ukraine,FR0000131104,46.47486,30.74616,62,60,62,65,71,72,75,78
49646,China,China,,36.54931,115.265,76,78,78,75,73,76,76,77
44389,India,India,,25.74907,82.69871,80,78,75,73,74,71,70,74
45662,MOL Magyar Olaj- és Gázipari N,Hungary,HU0000153937,46.2935,20.4651,64,68,67,72,77,81,85,86
12587,Beijing Rural Commercial Bank,China,,40.4143,116.4691,77,75,73,72,73,71,73,72
56126,China,China,,25.28047,112.5677,71,73,75,78,80,82,84,85
12310,India,India,,16.63977,81.53197,64,61,50,55,57,58,60,63
55288,J Sainsbury plc,United Kingdom,GB00B019KW72,55.7807814,-4.0567478,71,77,75,79,77,82,82,85
39715,Alliance Global Group,Philippines,PHY003341054,14.60765,121.08029,77,76,76,79,80,81,82,82
38213,India,India,,26.78914,79.02266,82,79,74,74,73,70,68,74
30879,France,France,,43.75011,3.17476,76,79,75,82,84,87,90,90
45009,BDO Unibank,Philippines,PHY077751022,14.61134,120.9942,76,74,72,74,76,76,79,80
26637,Unicaja Banco S.A.,Spain,ES0180907000,36.46214,-5.721987,83,85,85,87,87,88,90,91
33516,Deutsch Motors Inc.,South Korea,KR7067990002,37.547251,127.066318,79,77,77,78,84,83,84,86
52575,Bühnen Der Stadt Köln,Germany,,50.71516,7.04537,65,67,65,68,72,72,77,78
36603,NatWest Group plc,United Kingdom,GB00B7T77214,56.22416,-2.691855,69,74,72,76,77,81,82,85
48063,India,India,,17.68711,83.24591,57,52,52,56,52,56,59,63
32172,India,India,,29.48704,74.07694,81,77,76,75,75,73,73,74
45819,Linde plc,Germany,IE00BZ12WP82,51.32581,12.00567,76,78,74,79,83,87,90,89
51317,Banco Santander S.A.,Spain,ES0113900J37,28.48441,-16.31489,52,51,51,50,51,51,51,52
10635,KBC Group,Hungary,BE0003565737,46.88281,17.44008,71,75,73,78,83,85,88,89
34726,BlackRock Inc.,France,US09247X1019,48.84992,2.637041,70,72,71,77,79,81,83,83
42819,China,China,,25.02941,102.6776,75,77,81,83,86,88,88,90
10666,The Karur Vysya Bank,India,INE036D01028,8.97697,77.42075,66,70,66,64,66,69,69,75
27015,Pfizer Ltd.,United Kingdom,INE182A01018,51.2887,1.34655,72,75,71,80,83,84,89,91
2127,Ecobank Transnational,Cameroon,TG0000000132,4.09319,9.73986,64,69,65,67,67,67,68,70
54523,Bank of the Philippine Islands,Philippines,PHY0967S1694,14.84461,120.811,78,76,74,76,79,80,82,83
33031,OTP Bank Nyrt.,Ukraine,HU0000061726,46.42553,30.71722,62,60,62,65,71,72,75,78
13542,United Bank for Africa Plc,Nigeria,NGUBA0000001,6.74362,4.8759,66,67,64,63,64,62,69,71
18546,India,India,,17.40649,82.81828,57,54,50,56,52,56,57,62
6569,Attijariwafa bank SA,Morocco,MA0000012445,35.77414,-5.828818,76,77,77,77,76,77,79,80
8697,India,India,,30.60155,76.1975,81,77,74,75,75,72,70,74
21811,Deutsche Bk Aktiengesellschaft,Italy,DE0005140008,43.77112,11.21226,80,81,78,81,83,84,86,88
37067,Handelsbanken,United Kingdom,SE0007100599,51.45136,-2.59532,70,72,71,75,76,76,81,82
43879,ICICI Bank,India,INE090A01021,9.823664,77.98586,72,72,68,69,68,70,69,73
7356,Alperia S.p.A.,Italy,,46.91899,11.99294,76,79,76,77,79,80,83,82
39747,India,India,,28.51313,76.50694,82,77,75,72,74,70,69,74
14138,State Bank of Vietnam,Vietnam,,9.89582,105.6999,67,67,68,70,68,68,71,66
38872,Iberdrola SA,Spain,ES0144580Y14,42.595064,-1.270506,77,79,77,83,86,90,91,91
44064,Caisse Regionale de Crdt Agric,France,FR0000045544,43.65797,1.66247,80,84,83,86,87,90,92,93
9142,Co-Operative,United Kingdom,,50.8594205,-1.2096727,74,77,75,78,81,81,86,86
25102,India,India,,22.73124,87.57542,75,76,70,69,70,69,73,74
8460,SASAC,China,,29.2367,103.04524,66,68,69,80,83,89,89,90
54539,China,China,,23.05586,113.0459,63,64,64,65,69,67,70,72
8859,Raiffeisen Gruppe,Switzerland,,47.63947,9.205613,68,72,65,72,76,82,85,86
30070,India,India,,21.48065,70.36366,75,74,76,76,77,77,77,80
16749,India,India,,25.44122,92.19641,60,57,57,59,61,63,65,68
49951,Esken Ltd.,United Kingdom,GB00B03HDJ73,51.5093,-2.69374,69,72,71,75,77,76,81,83
20767,India,India,,11.03194,76.88813,74,74,70,70,69,69,69,70
7299,China,China,,37.43803,110.9006,79,83,81,81,83,84,84,85
54548,India,India,,27.15928,78.01387,75,73,69,67,67,66,64,69
44618,Barclays PLC,United Kingdom,GB0031348658,52.97033,-3.170278,72,74,72,76,78,80,83,86
18454,Intesa Sanpaolo S.p.A.,Ukraine,IT0000072618,48.13393,39.09532,77,79,80,83,86,86,90,91
5143,China,China,,23.35264,116.6766,72,75,76,77,79,80,83,85
42739,Crédit Agricole Group,France,,47.81669,6.380474,71,73,70,74,78,81,85,85
50259,Samhällsbyggnadsbolaget i Nord,Sweden,SE0009554454,59.42632,17.94945,63,66,64,70,72,76,77,80
18037,Barclays PLC,United Kingdom,GB0031348658,52.5889048,-0.2482053,72,74,72,76,79,80,83,84
50085,State Bank of Vietnam,Vietnam,,20.54281,105.9155,70,70,72,72,78,80,82,82
48020,Banco Bilbao Vizcaya Argentari,Spain,ES0113211835,41.57624,2.087313,79,81,79,83,86,89,91,91
49723,China,China,,34.53937,113.3959,74,80,80,79,82,82,83,84
55367,China,China,,34.4824,108.4307,71,73,75,78,80,81,82,83
51529,Starbucks Corp.,Poland,US8552441094,50.20871353,18.98888016,70,70,70,76,76,77,80,82
54703,UniCredit S.p.A.,Italy,IT0005239360,41.91534,12.54777,81,82,82,84,86,87,88,89
54092,Sparkasse Krefeld,Germany,,51.32926,6.611653,66,67,67,71,74,77,80,80
31203,ICICI Bank,India,INE090A01021,26.75283,83.3665,77,78,75,74,74,72,73,75
14403,China,China,,32.10339,118.8339,65,67,67,75,77,78,78,82
35016,Anteilsverwaltung Allgemeine,Austria,,47.90416,14.12316,67,72,67,69,73,75,80,79
1642,The Saudi National Bank,Turkey,SA13L050IE10,40.79154,29.42516,73,77,79,82,84,85,87,88
6330,India,India,,28.67434,77.18014,79,77,73,71,72,70,68,73
34995,India,India,,16.485,80.77569,69,67,57,58,58,56,58,61
15720,The South Indian Bank,India,INE683A01023,20.15669,85.76453,68,67,64,64,64,67,73,73
36073,India,India,,17.47611,78.51006,81,78,76,75,76,75,74,74
27195,Crédit Agricole Group,France,,48.18828,-2.188246,80,83,82,88,89,91,94,94
25247,Banco Santander S.A.,Spain,ES0113900J37,42.12418,2.965585,72,78,75,81,84,88,90,90
41900,Handelsbanken,Sweden,SE0007100599,60.92934,17.04103,65,68,66,76,77,81,84,88
9212,China,China,,34.26505,108.9443,77,79,78,79,82,82,83,85
38259,Rolls-Royce Holdings plc,United Kingdom,GB00B63H8491,52.910185,-1.434913,75,76,75,79,84,85,90,91
44025,Crédit Agricole Group,France,,48.80523,2.614761,70,72,71,77,79,81,83,83
22342,SASAC,China,,26.66403,100.1089,58,60,61,62,68,76,78,79
50039,Beijing Rural Commercial Bank,China,,40.28889,116.5804,77,75,73,71,73,72,73,73
32410,Kotak Mahindra Bank,India,INE237A01028,18.51269,73.8802,79,79,76,75,75,74,75,75
21499,China,China,,31.24364,120.54551,79,80,82,85,87,88,90,90
20341,Pennon Group Plc,United Kingdom,GB00BNNTLN49,50.6977506,-3.3903969,72,75,74,78,79,80,86,86
47538,Standard Bank,South Africa,ZAE000109815,-32.33237,28.14618,64,64,60,67,73,75,77,81
16493,Absa Group,South Africa,ZAE000255915,-26.57686,27.84057,65,66,64,67,73,74,76,79
4655,Engie SA,Italy,FR0010208488,45.16324,7.75093,74,77,74,78,82,85,89,89
9097,ENGIE SA,France,FR0010208488,45.33731,1.88716,76,76,74,79,81,84,89,89
34839,Co-Operative,United Kingdom,,52.1917418,0.1539264,69,72,71,75,78,78,82,83
12048,Banco Comercial Português S.A.,Portugal,PTBCP0AM0015,37.09301,-8.189514,68,68,67,67,66,65,65,65
33582,CaixaBank S.A.,Spain,ES0140609019,38.42697,-0.397893,67,73,72,77,79,82,85,87
44096,NatWest Group plc,United Kingdom,GB00B7T77214,51.57163,0.463162,69,72,70,75,78,78,82,83
25404,India,India,,20.27254,85.22917,70,69,61,61,59,63,66,66
51168,Groupe BPCE,France,,43.19725,5.802058,72,75,72,79,81,83,87,87
17098,China,China,,34.31585,108.9687,77,79,78,79,82,82,83,85
17747,FBN Holdings Plc,Nigeria,NGFBNH000009,7.96667,3.6,71,74,69,68,71,68,71,74
4353,Standard Bank,South Africa,ZAE000109815,-33.93228,18.45727,69,69,70,70,73,74,76,79
13719,Cogent Communications Holdings,France,US19239V3024,47.30887,5.03038,67,68,66,70,75,77,79,80
8512,Tianjin Rural Comm Bk Co. Ltd.,China,,39.08549,117.3115,64,67,61,58,60,60,62,62
17091,Xior Student Housing NV,Netherlands,BE0974288202,51.55517,5.08298,77,82,80,85,86,87,89,90
50921,FirstRand Ltd.,South Africa,ZAE000066304,-23.94957,31.13667,69,64,63,66,66,66,69,68
50533,Groupe BPCE,France,,48.00442,0.199677,77,79,82,84,84,85,87,87
48517,Octodec Investments Ltd.,South Africa,ZAE000192258,-25.74749,28.19205,75,75,71,76,79,79,81,82
51933,India,India,,21.92543,86.73595,56,51,47,44,44,42,47,47
12249,Mattioli Woods plc,United Kingdom,GB00B0MT3Y97,52.0391,-0.7722,68,70,72,75,79,79,82,83
9825,Axis Bank,India,INE238A01034,16.69916,74.24575,78,76,73,73,75,75,73,74
28015,Credito Emiliano Hldg S.p.A.,Italy,,42.94805,13.88237,80,81,80,82,85,86,88,89
18185,LVMH Moët Hennessy - Louis Vui,France,FR0000121014,45.7861957,4.783176022,67,67,64,66,71,70,76,76
7695,ICICI Bank,India,INE090A01021,20.87605,75.11748,77,79,74,73,73,71,70,72
4944,China Guangfa Bank,China,,29.72121,106.5963,66,67,65,69,74,77,77,79
6688,Groupe BPCE,France,,43.94821,4.80925,71,74,72,76,79,81,87,87
