,TCUID,Company,ISIN,GICS Sector Name,Carbon-Scope 1  (tonnes CO2e),Carbon-Scope 2  (tonnes CO2e),Carbon-Scope 3 (tonnes CO2e),Carbon Intensity-Scope 1 (tonnes CO2e/USD mn),Carbon Intensity-Scope 2 (tonnes CO2e/USD mn),Carbon Intensity-Scope 3 (tonnes CO2e/USD mn),Carbon Disclosure,Revenue (USD mn)
34642,236071,"Hainan Mining Co., Ltd.",CNE100001VS1,Materials,130860.578,99398.987,93463.145,326.787,248.221,233.398,Estimated data,400.445767896802
34647,236072,"Sunflower Pharmaceutical Group Co.,Ltd",CNE100001WT7,Health Care,8060.942,5982.635,44833.157,16.07,11.927,89.377,Estimated data,501.6164
34652,236073,"Western Region Gold Co., Ltd.",CNE100001VP7,Materials,87115.106,152531.939,145374.837,108.224,189.492,180.601,Estimated data,804.949774796731
34657,236074,"FULONGMA GROUP Co.,Ltd.",CNE100001V52,Industrials,75269.489,9014.636,140864.647,95.432,11.429,178.598,Estimated data,788.724576169687
34662,236075,Shanghai M&G Stationery Inc.,CNE100001V60,Industrials,17952.199,38601.315,330532.999,9.431,20.278,173.634,Value split from data provided in Environmental/CSR,1903.616542675001
34667,236076,"Changzheng Engineering Co.,LTD",CNE100001VQ5,Energy,3112.11,2657.281,20367.459,10.373,8.857,67.889,Estimated data,300.012299969999
34672,236077,"Guangzhou Holike Creative Home Co.,Ltd.",CNE100001V86,Consumer Discretionary,4396.913,10483.884,53161.591,13.899,33.14,168.045,Estimated data,316.353290441786
34677,236078,"Yifeng Pharmacy Chain Co., Ltd.",CNE100001TS5,Consumer Staples,20418.976,74326.668,182372.767,10.721,39.025,95.754,Estimated data,1904.595584774834
34683,236079,"MLS Co., Ltd",CNE100001X19,Information Technology,152153.22,97474.407,362340.795,62.997,40.358,150.023,Estimate used instead of disclosure - data does not cover global operations,2415.235427268246
34688,236080,"Shenzhen Gongjin Electronics Co., Ltd.",CNE100001VN2,Information Technology,58498.854,13676.449,170130.156,45.66,10.675,132.792,Estimated data,1281.1745
34693,236081,"Ningbo Tuopu Group Co.,Ltd.",CNE1000023J3,Consumer Discretionary,11262.807,21008.942,349485.39,11.947,22.286,370.723,Estimated data,942.713171611388
34699,236082,Sunrise Group Company Limited,CNE100001X76,Materials,15442.688,17238.769,262292.863,36.713,40.983,623.564,Estimated data,420.635258065636
34704,236083,"Beijing Dahao Technology Corp.,Ltd",CNE1000023H7,Information Technology,1139.254,2445.995,22209.222,9.444,20.277,184.108,Estimated data,120.6314
34710,236084,LBX Pharmacy Chain Joint Stock Company,CNE1000023Q8,Consumer Staples,28392.915,66337.13,174968.447,13.271,31.006,81.78,Estimated data,2139.506780203778
34715,236085,"Heilongjiang ZBD Pharmaceutical Co., Ltd.",CNE100002219,Health Care,7942.111,5894.442,44172.247,16.07,11.927,89.377,Estimated data,494.2218
34720,236086,"Shanghai Hile Bio-Technology Co., Ltd.",CNE1000022T4,Health Care,757.054,753.577,3254.4,20.163,20.07,86.676,Estimated data,37.546899996245
34725,236087,"Juneyao Airlines Co., Ltd",CNE100001ZY0,Industrials,1616575.295,3996.856,191948.242,1104.458,2.731,131.141,Estimated data,1463.681985679684
34730,236088,"Tonze New Energy Technology Co.,Ltd.",CNE100002037,Consumer Discretionary,26988.618,14394.129,26437.603,250.745,133.733,245.626,Estimated data,107.633599989237
34736,236089,"Anhui Yingjia Distillery Co., Ltd.",CNE1000022H9,Consumer Staples,29422.699,3409.508,68233.006,58.823,6.816,136.414,Estimated data,500.190284937404
34741,236090,"Zhejiang Weiming Environment Protection Co., Ltd.",CNE1000023N5,Industrials,1038846.167,3482.77,67682.378,2295.37,7.695,149.547,Estimated data,452.583389978432
34747,236091,"Eastern Pioneer Driving School Co., Ltd",CNE1000025G4,Consumer Discretionary,2201.948,892.327,6682.268,17.918,7.261,54.375,Estimated data,122.8919
34753,236092,"Southern Publishing and Media Co.,Ltd.",CNE1000025H2,Communication Services,13602.447,13874.553,70767.275,13.611,13.884,70.814,Estimated data,999.338199900066
34758,236093,"Tibet Huayu Mining Co., Ltd.",CNE1000026L2,Materials,69251.681,91778.182,43323.624,200.904,266.254,125.685,Estimated data,344.701089619764
34763,236094,"Guangzhou Baiyun Electric Equipment Co., Ltd.",CNE1000026J6,Industrials,14406.307,7375.217,92325.009,32.831,16.808,210.403,Estimated data,438.801790490046
34768,236095,"Shanghai Flyco Electrical Appliance Co., Ltd.",CNE100002771,Consumer Staples,19463.592,8578.161,117703.836,37.649,16.593,227.678,Estimated data,516.974191992164
34774,236096,"Beijing Changjiu Logistics Co.,Ltd",CNE100002GG5,Industrials,84881.094,7358.789,72406.726,143.679,12.456,122.563,Estimated data,590.770999940923
34779,236097,"Shanghai Film Co., Ltd.",CNE100002G92,Communication Services,69.918,719.845,1591.21,1.56,16.062,35.505,Estimated data,44.8164
34784,236098,"Autobio Diagnostics Co., Ltd.",CNE100002GC4,Health Care,8226.208,11238.681,40565.895,19.063,26.044,94.007,Estimated data,431.521591769379
34790,236099,"Jiangsu Jiangyin Rural Commercial Bank Co.,LTD.",CNE100002BL6,Financials,179.074,1380.58,8182.129,0.559,4.311,25.55,Estimated data,320.23556754618
34796,236100,"Yunnan Energy New Material Co., Ltd.",CNE100002BR3,Materials,95402.1,332425.7,212423.968,153.727,535.657,342.291,Value derived from data provided in Environmental/CSR,620.593871647787
34800,236101,"Jiangsu Changshu Rural Commercial Bank Co., Ltd.",CNE100002RJ6,Financials,511.56,1339.085,17048.645,0.693,1.815,23.112,Estimated data,737.654829762467
34805,236102,Qingdao Topscomm Communication INC.,CNE100002RS7,Information Technology,3295.179,5640.762,29474.823,10.821,18.523,96.788,Estimated data,304.5308
34810,236103,"Suntak Technology Co.,Ltd.",CNE100002H18,Information Technology,25479.306,36076.941,107287.031,40.26,57.006,169.525,Estimated data,632.8676
34815,236104,"Jason Furniture (Hangzhou) Co.,Ltd.",CNE100002GF7,Consumer Discretionary,27121.667,27275.706,493857.736,14.778,14.862,269.094,Estimated data,1835.2609
34820,236105,"Xinhuanet Co., Ltd.",CNE100002G50,Communication Services,977.727,2013.066,9045.898,4.708,9.692,43.554,Estimated data,207.695484070667
34826,236106,"Chengdu Fusen Noble-House Industrial Co.,Ltd.",CNE100002BW3,Consumer Discretionary,5583.654,7716.155,11497.012,29.026,40.112,59.767,Estimated data,192.3649
34831,236107,"Hexing Electrical Co.,Ltd.",CNE100002GS0,Information Technology,4109.231,5661.879,32343.474,10.107,13.926,79.551,Estimated data,406.573387715901
34836,236108,"Asymchem Laboratories (Tianjin) Co., Ltd.",CNE100002BZ6,Health Care,6971.15,6989.392,40350.552,15.275,15.315,88.414,Estimated data,456.379777643458
34841,236109,"Center International Group Co.,Ltd.",CNE100002GL5,Industrials,20060.727,8988.183,235121.945,43.917,19.677,514.727,Estimated data,456.789699954321
34847,236110,"Guizhou BC&TV Information Network CO.,LTD",CNE100002GP6,Communication Services,716.613,2840.193,28629.695,1.424,5.644,56.891,Estimated data,503.240893829749
34852,236111,"Hangcha Group Co., Ltd",CNE100002FY0,Industrials,21277.124,25322.915,671255.11,12.823,15.261,404.539,Estimated data,1659.309736731831
34857,236112,"Shenzhen Kinwong Electronic Co., Ltd.",CNE100002FZ7,Information Technology,41205.843,58344.633,173507.573,40.26,57.006,169.525,Estimated data,1023.4911
34862,236113,"Ningbo Peacebird Fashion Co.,Ltd.",CNE100002GV4,Consumer Discretionary,43173.038,28549.285,271055.688,31.742,20.99,199.287,Estimated data,1360.126236937424
34868,236114,China Science Publishing & Media Ltd.,CNE100002R99,Communication Services,961.649,2840.486,28379.747,2.63,7.767,77.602,Estimated data,365.710099963429
34873,236115,"Kunshan Kersen Science & Technology Co.,Ltd.",CNE100002RL2,Information Technology,74364.579,17817.285,88756.93,148.03,35.467,176.68,Estimated data,502.360184821824
34878,236116,"Poten Environment Group Co.,Ltd.",CNE100002R40,Industrials,27037.819,3217.223,13903.623,97.164,11.562,49.965,Estimated data,278.27
34883,236117,"Shenzhen Kedali Industry Co., Ltd.",CNE100002JW6,Consumer Discretionary,8069.899,19229.757,81215.985,28.057,66.856,282.363,Estimated data,287.629799942474
34889,236118,"Juewei Food Co., Ltd.",CNE100002RT5,Consumer Staples,36453.772,40832.199,498542.665,47.684,53.411,652.127,Estimated data,764.486808661171
34893,236119,"Xinfengming Group Co., Ltd.",CNE100002RH0,Materials,859329.65,586716.648,4278935.224,160.356,109.485,798.476,Estimated data,5358.8763
34898,236120,"RAISECOM TECHNOLOGY CO.,Ltd.",CNE100002RC1,Information Technology,12797.871,3017.024,37249.999,45.245,10.666,131.691,Estimated data,282.859199971714
34903,236121,"Chow Tai Seng Jewellery Co., Ltd.",CNE100002QJ8,Consumer Discretionary,8917.681,28087.889,47492.789,12.105,38.128,64.469,Estimated data,736.673677742338
34909,236122,"Jinneng Science&Techology Co.,Ltd",CNE100002RK4,Energy,433288.579,224373.444,311336.125,396.328,205.234,284.778,Estimated data,1093.257799890675
34915,236123,"Anhui Hengyuan Coal-Electricity Group Co., Ltd.",CNE000001KT3,Energy,2130121.269,50601.011,183776.971,2821.793,67.032,243.451,Estimated data,754.882099924512
34920,236124,"Sunstone Development Co., Ltd.",CNE100002R73,Materials,17973.825,84466.849,184654.803,21.201,99.634,217.813,Estimated data,847.7673
34925,236125,"Shanghai Daimay Automotive Interior Co., Ltd",CNE100002RD9,Consumer Discretionary,6838.091,12755.352,212186.272,11.947,22.286,370.723,Estimated data,572.3581
34931,236126,"DaShenLin Pharmaceutical Group Co., Ltd.",CNE100002RG2,Consumer Staples,34795.897,42308.656,140168.449,16.467,20.023,66.336,Estimated data,2113.009644468372
34937,236127,"BTG Hotels (Group) Co., Ltd.",CNE0000012Q3,Consumer Discretionary,15600.81,60911.017,53540.01,20.384,79.588,69.957,Estimated data,765.3273
34943,236128,"Beibu Gulf Port Co., Ltd.",CNE0000001M5,Industrials,23163.308,11101.091,60606.572,29.811,14.287,77.999,Estimated data,777.017502408701
34948,236129,"Hengyi Petrochemical Co., Ltd.",CNE0000001J1,Materials,2143161.78,1088317.123,7584167.599,171.133,86.903,605.601,Estimated data,12523.371928659755
34954,236130,"Cinda Real Estate Co., Ltd.",CNE000000966,Real Estate,47400.579,207963.39,114105.009,12.648,55.493,30.448,Estimated data,3747.580787146354
34959,236131,"Vantone Neo Development Group Co., Ltd.",CNE0000014S5,Real Estate,2496.91,10954.842,6010.685,12.648,55.493,30.448,Estimated data,197.4105
34967,236133,Zepp Health Corporation,US98945L1052,Information Technology,9650.893,17944.938,133255.892,10.353,19.251,142.952,Estimated data,932.17337192878
34972,236134,"Chengzhi Shareholding Co., Ltd.",CNE0000013G2,Materials,274587.667,509776.451,308458.594,194.728,361.516,218.748,Estimated data,1410.107066930949
34978,236135,"Maoye Commercial Co., Ltd.",CNE000000FJ6,Consumer Discretionary,6406.501,21500.26,36756.852,11.952,40.112,68.576,Estimated data,536.0047
34983,236136,"Berry Genomics Co.,Ltd",CNE000000PN7,Health Care,4654.003,6433.021,19457.62,20.852,28.822,87.177,Estimated data,223.1969
34988,236137,"China World Trade Center Co., Ltd.",CNE000000YH1,Real Estate,6053.814,26081.019,15589.666,13.487,58.106,34.732,Estimated data,448.855335052048
34994,236138,"CECEP Solar Energy Co.,Ltd.",CNE0000000K1,Utilities,16037.161,8411.327,55603.245,20.863,10.943,72.336,Estimated data,768.678099923132
34997,236139,"Hengli Petrochemical Co.,Ltd.",CNE0000018V0,Materials,5236948.888,908217.666,12021475.48,237.198,41.136,544.49,Estimated data,22078.409623660446
