,Ultimate Parent Name,Ultimate Parent ISIN,Asset ID,Latitude,Longitude,Activity Description,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
55721,China,,416918,45.29226,130.968,Bank Branch,67,66,69,71,73,73,79,78
26105,China,,429863,24.40425,103.4402,Bank Branch,70,75,80,85,88,91,91,92
4190,China,,421973,41.29977,123.7653,Bank Branch,75,74,71,77,77,76,81,81
49788,China,,837575,25.94306,105.6213,Bank Branch,68,71,75,81,86,90,90,91
46315,SASAC,,426723,33.65272,121.1722,Electric Plant,46,47,40,37,35,33,31,30
22343,China,,443582,38.04075,114.4177,Bank Branch,76,74,72,67,66,66,67,67
39515,China,,502250,32.80176,114.0295,Bank Branch,76,80,80,82,83,84,86,87
32691,China,,418931,29.33174,111.9552,Bank Branch,67,67,71,73,79,79,81,83
12916,China,,609365,41.87578,123.8943,Bank Branch,75,74,69,75,75,75,80,80
41050,China,,304005,41.81659,123.4366,Bank Branch,76,74,69,76,75,75,80,80
30204,SASAC,,190716,38.76086,113.51,Electric Plant,77,75,73,67,65,65,67,67
527,SASAC,,365969,41.21642,110.4664,Electric Plant,85,84,83,83,86,86,88,89
10258,SASAC of Hebei Province,,4335917,38.03705,114.483198,Company Headquarters,76,74,72,67,66,66,67,67
19343,China,,493284,28.3743,121.3701,Bank Branch,77,77,79,80,82,83,83,85
14447,Shanghai Pudong Development,CNE0000011B7,465594,34.73916,113.6994,Bank Branch,72,77,80,79,80,80,80,82
5476,China Guangfa Bank,,384250,45.74808,126.6772,Bank Branch,63,63,62,67,70,68,74,75
30399,Bank of Ningbo Co. Ltd.,CNE1000005P7,873984,22.59198,113.995,Bank Branch,71,71,70,73,76,77,79,81
40318,China,,392787,45.86803,126.5535,Bank Branch,69,71,71,74,79,77,82,83
16010,State Owned Assets Supervision,,16542,32.2775,121.158611,Electric Plant,68,69,72,78,81,82,84,87
43855,China,,608085,30.65175,104.0091,Bank Branch,64,69,66,71,75,78,81,81
18569,China,,426614,31.69026,121.4105,Bank Branch,71,74,75,80,84,85,87,89
51205,JAFCO Group,JP3389900006,3004252,39.951518,116.460704,Instn Address,78,79,78,75,78,76,77,78
5356,China,,758643,33.90827,117.9667,Bank Branch,59,62,63,64,67,65,67,70
16007,Bank of Jilin Co.Ltd.,,512206,41.80915,123.4359,Bank Branch,76,74,69,76,75,75,80,80
54896,Allianz SE,DE0008404005,3030585,39.956352,116.463405,Instn Address,78,79,78,75,78,76,77,78
1091,China,,831136,29.8724,121.6068,Bank Branch,74,75,76,78,81,80,83,84
18299,China,,700447,34.79429,113.6951,Bank Branch,71,77,79,78,79,80,80,82
32748,Wanhua Chemical Group,CNE0000016J9,71840,29.93011,121.94584,Power Plant,77,78,81,86,88,89,93,93
6830,Guangdong Shunde Rural Comm Bk,,510900,22.76215,113.2588,Bank Branch,66,66,65,67,70,69,72,73
18842,China,,429293,43.81444,87.58777,Bank Branch,80,80,79,81,81,81,82,85
55997,China Minsheng Banking,CNE0000015Y0,346915,31.22274,121.4986,Bank Branch,79,80,81,84,86,86,87,88
9378,Shanghai Pudong Development,CNE0000011B7,465255,31.18229,121.3735,Bank Branch,79,79,81,83,85,86,87,88
1013,Powerlong Real Estate Holdings,KYG720051047,10214444,27.85239,120.83076,Multi-Use,78,79,81,83,85,87,88,89
2869,China,,497534,32.23887,120.2319,Bank Branch,68,70,70,76,79,80,81,84
20173,Bank of Comms Co. Ltd.,CNE100000205,358045,34.26978,117.1859,Bank Branch,56,63,62,61,63,63,65,68
14353,Galaxy Earnest Ltd.,,10200493,31.79541,106.6366,Residential,69,72,72,80,86,88,89,90
46645,China,,421136,29.4626,116.3208,Bank Branch,67,69,73,74,77,78,80,82
34062,Bank of Comms Co. Ltd.,CNE100000205,358133,31.60496,121.2116,Bank Branch,71,74,75,80,84,85,87,89
27008,China,,608586,23.35355,113.5208,Bank Branch,67,68,68,70,72,73,75,78
56251,China,,424564,36.43855,116.8241,Bank Branch,75,81,79,80,79,82,83,83
49327,China,,786601,36.11486,120.447,Bank Branch,79,80,82,80,82,84,84,87
5582,China,,387775,29.56057,106.5869,Bank Branch,69,72,70,76,81,86,86,88
25726,China,,830501,29.31126,120.1228,Bank Branch,71,73,74,79,81,81,85,86
40613,Chongqing Rural Commercial,CNE100000X44,290144,29.67387,107.3602,Bank Branch,69,72,70,76,83,87,88,89
47447,Country Garden Holdings,KYG245241032,10202088,34.72907,112.12372,Multi-Use,75,80,81,81,83,84,84,86
25683,China,,496966,24.56616,115.8936,Bank Branch,72,74,75,76,76,76,79,78
12247,China Vanke Co,CNE0000000T2,10109996,31.32941,120.47553,Multi-Use,78,80,81,85,87,88,89,91
46719,China,,496595,30.281,120.1641,Bank Branch,76,77,77,80,82,81,83,83
56194,Cedar Holdings Group,,4986040,36.813801,118.055,Company Headquarters,71,69,67,66,67,65,67,68
14520,China,,413511,22.80683,108.3349,Bank Branch,64,68,68,70,72,75,72,75
29968,Fantasy Pearl Intl Ltd,,10173402,25.24128,110.20884,Multi-Use,70,73,77,79,81,83,83,86
14202,China,,739660,31.22619,121.4441,Bank Branch,79,80,81,84,86,86,87,88
47323,China,,428959,43.78208,87.59259,Bank Branch,80,80,79,80,81,81,82,85
8349,Chongqing Rural Commercial,CNE100000X44,602557,29.57975,106.5903,Bank Branch,69,72,70,76,81,86,86,88
46700,China,,494288,39.1462,117.1541,Bank Branch,65,67,62,58,60,59,62,61
36730,China,,391171,32.90866,115.797,Bank Branch,66,72,72,72,75,75,75,76
14974,China,,447391,27.60347,120.5525,Bank Branch,75,76,77,78,80,82,82,83
23270,China,,493278,28.37953,121.3788,Bank Branch,77,77,79,80,82,83,83,85
40597,China Shanshui Cement Group,KYG2116M1015,89681,42.266667,118.95,Cement,79,80,70,75,76,73,76,77
12322,Yanlord Land Group Limited,SG1T57930854,10209787,22.54547,113.3493,Multifamily,72,71,71,74,76,77,79,80
23516,Bank of Ningbo Co. Ltd.,CNE1000005P7,467341,29.85756,121.5864,Bank Branch,73,74,76,78,81,80,83,84
46194,China,,492227,39.86655,116.3587,Bank Branch,78,79,78,69,72,70,72,72
22842,China,,428791,30.93293,94.70729,Bank Branch,55,54,53,54,54,56,57,59
18536,China Minsheng Banking,CNE0000015Y0,630381,38.36449,117.3254,Bank Branch,71,75,67,69,70,70,72,73
43724,China,,444699,41.20876,123.2012,Bank Branch,75,75,71,76,76,74,80,80
53206,China,,501723,28.19484,112.9799,Bank Branch,67,67,68,70,74,73,75,77
20946,China,,317549,25.719,119.3638,Bank Branch,71,72,75,79,78,82,85,86
13674,China,,429192,43.59925,93.01167,Bank Branch,83,85,81,83,84,83,85,89
5435,China,,415827,32.98813,112.5352,Bank Branch,73,77,78,78,79,80,82,82
11966,China,,582613,36.03829,103.8395,Bank Branch,56,57,61,57,68,69,72,74
26453,China,,872052,31.44588,120.561,Bank Branch,79,80,81,85,87,88,89,91
55262,Zhejiang Xiaoshan Rural Comm B,,604816,30.16242,120.284,Bank Branch,67,69,69,74,76,74,76,78
36319,CITIC Securities Co.,CNE000001DB6,2996599,31.230416,121.473701,Instn Address,79,80,81,84,86,86,87,88
13300,China,,499418,29.36073,104.7715,Bank Branch,64,68,67,72,75,78,78,79
36264,China,,431564,28.84778,108.7749,Bank Branch,68,69,72,75,80,83,84,87
21726,China,,583172,34.28456,117.2722,Bank Branch,56,62,61,62,63,63,64,68
50752,Guangzhou Rural Commercial,CNE100002FR4,470359,23.10163,113.2629,Bank Branch,63,64,62,64,68,67,69,72
8663,Bank of Comms Co. Ltd.,CNE100000205,518454,23.20692,113.2668,Bank Branch,63,64,62,64,68,67,69,72
47080,Tongling Chemical Industry Grp,,61038,30.923,117.995,Mining Property,66,68,71,73,79,77,80,83
8249,China,,491332,36.06389,111.5165,Bank Branch,75,76,77,76,77,78,78,79
22633,China,,448436,24.51615,117.6552,Bank Branch,72,72,72,73,73,76,78,79
4129,China,,417291,45.75302,126.6617,Bank Branch,63,63,63,67,70,68,73,75
8369,SASAC,,445155,44.52511,124.9561,Electric Plant,80,82,82,83,86,84,89,88
36229,Harbin Bank Co. Ltd.,CNE100001SB3,709333,38.92491,121.6553,Bank Branch,65,67,68,70,75,74,77,80
40361,China,,410482,27.75706,118.0358,Bank Branch,69,71,74,76,78,80,83,83
13550,China,,454371,27.44048,104.8732,Bank Branch,66,70,71,77,80,86,87,88
46534,Jiangsu Suzhou Rural Comm Bk L,CNE100003035,825290,30.84258,120.5248,Bank Branch,79,80,82,85,87,87,89,90
56036,China,,412860,22.70507,114.2227,Bank Branch,68,69,67,71,72,74,75,77
42111,Guangzhou R&F Properties Co.,CNE100000569,151058,39.89391,116.45452,Shopping Center,78,79,78,75,78,76,77,78
51606,China,,420547,32.38607,119.3917,Bank Branch,64,64,65,68,70,71,72,74
11788,China,,491479,26.8888,100.2274,Bank Branch,57,59,62,64,70,75,80,81
22194,China,,416290,35.44626,114.637,Bank Branch,79,82,82,80,80,81,82,83
38814,China,,422024,41.56677,120.4503,Bank Branch,72,71,68,69,67,68,70,69
50695,China,,493085,32.00269,120.8496,Bank Branch,66,67,67,71,74,75,77,80
32713,China,,394180,30.51889,120.9297,Bank Branch,74,74,77,81,83,84,86,87
42577,China,,409691,40.04034,116.4203,Bank Branch,77,75,74,72,73,72,74,74
14741,Chen Ting Sen (PTC) Ltd.,,10218831,36.19917,117.01403,Residential,75,77,75,74,74,74,74,75
31164,Chen Ting Sen (PTC) Ltd.,,10173602,29.44063,106.54801,Residential,69,72,71,76,82,86,87,88
42600,China,,410233,26.09755,119.3068,Bank Branch,73,73,74,76,75,79,80,81
29887,China,,51097,43.81136,113.65377,Mining Property,85,84,84,80,81,82,84,85
28115,CECEP Techand Ecology&Environm,CNE1000011N0,6630339,22.539931,114.01938,Company Headquarters,67,68,66,69,71,73,74,76
27288,China Minsheng Banking,CNE0000015Y0,346941,31.16555,121.4302,Bank Branch,79,80,81,84,86,86,87,88
6558,China,,582272,22.74445,114.1367,Bank Branch,69,70,70,73,76,77,79,81
12817,China,,392472,23.09131,114.4061,Bank Branch,67,68,65,67,67,68,69,71
49305,China Vanke Co,CNE0000000T2,10111112,28.70823,115.79203,Multi-Use,64,66,68,67,71,72,74,75
44703,China,,813721,22.948,115.6257,Bank Branch,68,69,70,72,74,74,76,78
5272,China Merchants Bank,CNE000001B33,319109,31.28173,121.5068,Bank Branch,79,80,81,83,86,86,87,88
8924,China Merchants Bank,CNE000001B33,796876,34.8307,113.6433,Bank Branch,71,77,79,78,79,80,80,82
49334,China,,787730,28.4524,117.971,Bank Branch,65,68,68,70,72,74,76,76
36194,China Vanke Co,CNE0000000T2,10139416,22.78965,108.22387,Multi-Use,68,72,74,77,80,84,81,83
50511,Bank of Hangzhou,CNE100002GQ4,596131,28.93945,118.8722,Bank Branch,63,67,67,70,72,74,75,76
20869,China,,394659,24.45405,118.0813,Bank Branch,68,68,69,71,72,72,76,78
35848,GigaDevice Semiconductor (Beij,CNE1000030S9,4970245,39.907806,116.397583,Company Headquarters,78,79,78,75,78,76,77,78
9095,China,,418834,27.05969,110.5784,Bank Branch,70,72,75,78,81,84,85,87
34643,China,,423863,37.19758,122.0482,Bank Branch,79,81,83,84,85,87,89,90
8862,China,,451056,30.22549,115.0739,Bank Branch,63,65,68,69,72,71,73,74
16480,China,,414148,27.68549,106.9234,Bank Branch,67,71,72,78,84,88,89,90
14435,Jiangxi Energy Group Corp,,69830,27.60626,113.89554,Mining Property,70,72,75,75,80,79,82,84
18565,China,,429700,24.10863,102.759,Bank Branch,77,83,87,88,91,93,94,94
37760,China Vanke Co,CNE0000000T2,10083792,22.72282,108.38777,Multi-Use,69,71,75,77,80,84,81,84
31905,China,,450999,30.40083,114.8857,Bank Branch,63,65,68,69,72,70,73,74
26597,Bank of Comms Co. Ltd.,CNE100000205,70369,40.06381,119.34125,Power Plant,68,69,67,67,65,67,69,68
7230,China,,391799,23.08382,113.2256,Bank Branch,63,64,63,64,69,67,69,72
11409,China,,835908,41.00174,118.6891,Bank Branch,68,70,67,67,71,66,73,72
36100,China,,418398,27.61278,112.0467,Bank Branch,70,75,77,78,82,83,84,86
35699,Bank of Tianjin Co. Ltd.,CNE100002623,507765,39.62294,118.1286,Bank Branch,76,80,77,76,77,77,79,78
4592,China,,429468,43.87151,87.56679,Bank Branch,80,80,79,81,81,81,82,85
15443,SASAC,,409573,23.65494,117.4636,Electric Plant,73,74,78,77,80,81,84,86
12747,Dongguan Rural Comm Bk Co. Ltd,CNE100004QH8,833675,22.84081,113.9805,Bank Branch,70,70,68,72,75,76,78,80
32895,Citigroup Inc.,US1729674242,10151206,31.52508,120.55553,Multi-Use,79,80,81,84,87,88,89,90
52568,China,,498386,30.54471,119.9663,Bank Branch,75,77,76,79,82,79,82,82
10174,China,,527488,30.89316,107.0591,Bank Branch,70,72,72,78,84,87,88,90
16616,China,,387053,33.44162,114.8988,Bank Branch,61,62,63,64,67,66,67,69
52834,China,,387870,29.61069,106.5075,Bank Branch,67,67,65,69,74,77,77,80
34556,Standard Chartered PLC,GB0004082847,659058,24.49501,118.1279,Bank Branch,68,68,69,71,72,72,76,78
55571,China,,494449,37.16264,122.4234,Bank Branch,81,84,84,86,87,90,92,93
5587,China,,424922,34.84342,118.0555,Bank Branch,70,75,73,74,74,76,76,78
41235,Guangzhou Rural Commercial,CNE100002FR4,470309,22.91294,113.4066,Bank Branch,69,69,69,71,75,76,78,79
15627,China,,583015,30.50885,117.0785,Bank Branch,63,65,66,68,72,69,73,74
5194,China,,582898,35.04834,108.0652,Bank Branch,73,76,79,81,85,87,87,88
20931,China,,447739,28.89418,120.0465,Bank Branch,68,71,70,74,76,76,77,80
33933,China,,303933,38.90414,121.608,Bank Branch,65,67,68,70,75,74,77,80
27746,China,,427707,30.76037,104.0534,Bank Branch,64,69,66,71,76,78,80,80
40780,China,,832549,23.35634,103.3926,Bank Branch,70,76,78,78,80,84,84,85
43080,Guangdong Shunde Rural Comm Bk,,510941,22.93712,113.0942,Bank Branch,64,65,64,66,68,68,71,72
37258,China,,850665,30.57231,114.2491,Bank Branch,62,65,67,69,71,70,73,74
29634,China,,495586,27.57757,110.0417,Bank Branch,70,71,75,77,81,84,84,87
26796,China,,494386,37.87435,112.568,Bank Branch,78,79,79,77,79,80,81,80
12931,Beijing Rural Commercial Bank,,346231,40.05517,116.3291,Bank Branch,77,75,74,72,73,72,74,74
40273,China,,454206,24.72313,99.18885,Bank Branch,66,69,75,78,82,88,91,91
39408,China,,495318,34.77547,114.3385,Bank Branch,59,62,63,61,61,62,64,66
42361,China,,448702,28.67445,115.9348,Bank Branch,64,66,67,67,71,72,73,75
50478,China,,830359,31.40355,121.2447,Bank Branch,68,70,71,74,77,78,80,82
52774,China,,392447,22.75338,114.5985,Bank Branch,67,67,66,69,70,71,72,75
42225,State-owned Assets Supervision,,4314727,30.937333,117.797142,Company Headquarters,63,65,65,66,72,69,73,74
20911,China,,452997,25.26,110.2703,Bank Branch,66,69,71,74,74,76,77,78
43338,China Vanke Co,CNE0000000T2,10126911,22.9701,113.36551,Multi-Use,64,65,63,65,69,68,71,72
55639,China,,411135,35.69992,105.0508,Bank Branch,72,80,82,82,87,89,90,91
49832,China,,830334,31.11849,121.4534,Bank Branch,79,80,81,84,86,86,87,88
50961,Bank of Comms Co. Ltd.,CNE100000205,518418,31.25079,121.444,Bank Branch,79,80,81,83,86,86,87,88
617,China,,500714,43.60304,122.277,Bank Branch,78,72,71,74,76,76,79,77
12176,China Merchants Bank,CNE000001B33,821890,31.75375,117.2789,Bank Branch,69,73,73,77,80,79,81,83
32510,China Development Bank,,591467,29.90406,121.8204,Bank Branch,74,75,77,80,81,81,85,85
13125,China Guangfa Bank,,283959,22.70184,113.2483,Bank Branch,67,66,65,68,70,70,73,72
16472,China,,414201,25.83248,107.3252,Bank Branch,69,74,75,79,85,88,88,90
15461,Bank Xi'an Co.,CNE100003JB8,297659,34.26533,109.0092,Bank Branch,76,79,78,78,82,81,83,84
38149,China,,532357,30.71955,111.29,Bank Branch,62,64,64,66,73,71,75,76
37205,China,,445075,45.79172,130.8945,Bank Branch,64,63,64,70,72,73,78,78
41484,Hangzhou United Rural,,532857,30.26787,120.1287,Bank Branch,78,80,81,85,86,86,88,88
1487,China,,443024,39.8759,116.4548,Bank Branch,78,79,78,75,78,76,77,78
21672,Wilmar International Ltd.,SG1T56930848,6461165,36.012433,120.184539,Company Headquarters,70,72,76,74,77,82,83,86
28452,Bank of Jiangsu Co. Ltd.,CNE100002G76,799976,22.53891,113.9476,Bank Branch,72,72,72,75,78,80,82,84
13335,China,,545039,31.87141,117.2981,Bank Branch,66,70,69,71,74,73,76,76
55836,China,,443344,39.63717,118.1666,Bank Branch,76,80,77,76,77,77,79,78
46750,China,,501308,29.51579,106.4417,Bank Branch,67,68,65,70,75,78,78,80
41000,Bank of Hangzhou,CNE100002GQ4,571232,32.06341,118.7622,Bank Branch,62,63,62,68,69,71,70,73
34511,China,,417425,30.46148,114.5444,Bank Branch,67,67,73,74,78,77,79,81
19415,China,,494308,30.64758,113.1751,Bank Branch,72,75,77,77,82,81,83,85
56154,China,,417295,47.57615,132.0991,Bank Branch,67,63,68,76,79,80,83,83
44187,China,,426559,30.86882,121.728,Bank Branch,76,76,80,83,86,86,89,89
23894,China,,493377,31.86207,117.3663,Bank Branch,69,73,74,77,80,80,81,83
52966,China Vanke Co,CNE0000000T2,10216710,23.02176,113.00608,Multi-Use,67,68,69,70,75,74,76,78
17514,Dongguan Rural Comm Bk Co. Ltd,CNE100004QH8,833802,23.05475,113.9393,Bank Branch,70,70,68,72,75,75,77,79
15720,Bank Nanjing,CNE100000627,467034,32.04275,118.8663,Bank Branch,65,67,67,75,77,78,78,81
17462,Bank of Wenzhou Co. Ltd.,,730741,27.73035,120.5995,Bank Branch,78,79,81,82,85,87,88,89
30910,China,,413812,22.63275,107.9048,Bank Branch,69,71,73,74,75,78,78,79
43178,China,,500826,37.07522,114.5061,Bank Branch,77,79,76,71,69,71,71,71
55645,China,,410535,25.02537,118.7919,Bank Branch,77,76,77,81,82,85,87,89
54400,CIFI Holdings (Group) Co. Ltd.,KYG2140A1076,10202504,39.00747,117.71967,Residential,58,63,57,57,58,57,60,60
30383,Bank of Ningbo Co. Ltd.,CNE1000005P7,467380,29.79272,121.6262,Bank Branch,74,75,76,79,81,81,83,84
22685,China,,415881,34.6726,112.5226,Bank Branch,75,80,82,81,83,84,84,86
39565,China,,500932,27.23579,111.4656,Bank Branch,65,70,70,72,74,76,77,79
10081,State-owned Assets Supervision,,90630,23.743817,105.403442,Cement,70,74,77,80,82,86,86,88
40870,State-owned Assets Supervision,,10070786,31.23354,121.51326,Other Retail,80,80,82,84,86,86,88,88
22246,Chen Ting Sen (PTC) Ltd.,,10209679,36.19841,117.01816,Residential,75,77,75,74,74,74,74,75
45431,Hopson Dev. Holdings Ltd.,BMG4600H1198,10196017,22.61334,113.03253,Multi-Use,71,70,70,72,75,76,78,78
42525,China Merchants Bank,CNE000001B33,816059,30.5835,114.359,Bank Branch,62,65,68,69,72,70,73,74
38855,Jiangsu Changshu Rural Comm Bk,CNE100002RJ6,826205,31.54023,120.6706,Bank Branch,79,80,81,84,87,88,89,91
13697,China,,431616,29.94291,106.3548,Bank Branch,69,72,71,77,81,86,86,88
30604,China,,445117,47.02676,130.7211,Bank Branch,66,62,65,75,77,77,82,82
39717,Bank Hebei,,523443,38.02477,114.4951,Bank Branch,76,74,72,67,66,66,67,67
18118,Shanghai Rural Comm Bk,CNE100004QD7,295751,31.32072,121.4376,Bank Branch,70,72,73,75,79,80,81,83
11973,China,,430492,29.35948,120.9285,Bank Branch,74,76,77,81,83,84,87,89
4140,China,,417904,31.73949,113.3553,Bank Branch,70,75,76,76,79,80,82,84
36498,Bank Changsha,CNE100003F50,464733,28.18554,113.0035,Bank Branch,66,68,68,70,72,73,75,76
4165,China,,454400,25.60708,103.8267,Bank Branch,72,76,80,83,87,92,92,93
51382,Jiangsu Changshu Rural Comm Bk,CNE100002RJ6,826139,31.67354,120.7335,Bank Branch,67,69,68,72,75,76,78,79
4413,BAIOO Family Interactive Ltd.,KYG070381051,4972897,23.125717,113.339819,Company Headquarters,63,64,62,64,68,67,69,72
23980,Huaian City Water Hldg Grp Co.,,6990390,33.608056,119.04505,Company Headquarters,67,70,69,75,76,79,78,81
55642,China,,526194,29.87074,121.5153,Bank Branch,74,75,76,79,81,80,83,84
13278,China,,498314,27.99918,120.7159,Bank Branch,68,68,68,69,72,71,72,74
28222,China,,318049,37.64394,120.5114,Bank Branch,75,74,74,74,76,76,77,79
24193,Taiwan Bus. Bank,TW0002834009,432999,31.20202,121.4174,Bank Branch,79,80,81,84,86,86,87,88
47908,SASAC,,10204544,30.55022,114.5089,Residential,66,68,72,75,78,76,79,80
17535,Guangdong Shunde Rural Comm Bk,,510768,22.95078,113.2784,Bank Branch,64,65,63,65,69,68,71,72
1325,China,,416402,33.61958,113.3567,Bank Branch,74,78,77,77,79,79,80,82
6099,China,,603991,34.62922,112.4463,Bank Branch,75,80,82,81,83,84,84,86
32934,Ping An Ins (Grp) Co. CN Ltd,CNE1000003X6,853312,34.30836,108.9978,Bank Branch,77,79,78,79,82,82,83,85
37319,China,,449508,36.71305,119.1342,Bank Branch,77,81,77,77,77,79,80,83
26012,China,,839839,42.85096,120.6534,Bank Branch,63,62,61,65,68,66,69,70
14398,China Merchants Bank,CNE000001B33,319249,28.63543,121.2644,Bank Branch,79,80,81,83,86,87,89,90
20252,China,,444984,43.89524,125.331,Bank Branch,79,80,79,81,82,81,86,86
13330,China,,317860,37.85563,112.5231,Bank Branch,78,79,79,77,79,80,81,80
36265,China,,526166,29.87431,121.5911,Bank Branch,74,75,76,78,81,80,83,84
45201,Yanlord Land Group Limited,SG1T57930854,10200773,32.01976,118.88274,Residential,65,67,67,75,77,78,78,81
39014,Chongqing Rural Commercial,CNE100000X44,289896,29.82685,107.07,Bank Branch,68,72,70,77,84,88,88,89
48000,China,,418302,25.58259,111.5035,Bank Branch,71,74,76,79,80,82,84,85
10987,China,,423860,35.31916,118.6437,Bank Branch,74,78,76,76,78,81,81,85
13414,China,,446981,28.36576,121.3685,Bank Branch,79,80,82,84,86,88,89,89
35947,China,,832965,21.6107,108.3367,Bank Branch,66,68,68,71,73,75,74,75
56243,China,,423748,37.55363,121.2679,Bank Branch,78,79,79,81,82,83,86,87
7166,China,,413172,25.25809,110.2842,Bank Branch,66,69,71,74,74,76,77,78
55783,China,,690405,29.346,104.7146,Bank Branch,66,72,72,80,84,88,88,89
18982,Haemonetics Corp.,US4050241003,6232374,31.212361,121.449838,Company Headquarters,79,80,81,84,86,86,87,88
42180,China,,420924,34.67509,119.2408,Bank Branch,73,78,77,78,78,82,83,86
32419,China,,449943,33.44167,114.8939,Bank Branch,61,62,63,64,67,66,67,69
22211,China,,500446,25.38255,114.9325,Bank Branch,66,67,67,70,72,75,77,76
32729,China,,421818,41.86672,123.4155,Bank Branch,76,74,69,76,75,75,80,80
43965,China,,391837,23.13678,113.273,Bank Branch,63,64,62,64,68,67,69,72
25531,Chongqing Rural Commercial,CNE100000X44,289844,29.81374,106.561,Bank Branch,68,72,70,76,81,86,86,88
56121,China,,414553,36.59677,114.4841,Bank Branch,76,78,75,70,69,72,72,72
46738,China,,429842,25.01919,98.50432,Bank Branch,67,68,72,74,79,84,88,87
34483,Sino-Ocean Group Holding Ltd.,HK3377040226,10174271,31.8919,117.411,Multi-Use,69,73,74,77,80,80,81,83
34880,Bank of Comms Co. Ltd.,CNE100000205,588515,40.26402,122.1293,Bank Branch,62,62,60,60,59,59,64,63
56365,Hua Xia Bank,CNE000001FW7,462639,31.24473,121.4337,Bank Branch,79,79,81,83,85,86,87,88
32398,China,,448214,27.035,118.3247,Bank Branch,68,69,70,73,76,76,77,79
19563,China,,609363,41.1682,121.3695,Bank Branch,76,78,74,79,79,77,83,83
42529,China,,423002,43.21039,121.043,Bank Branch,65,67,66,70,74,72,75,75
2328,China,,388533,25.28417,110.3148,Bank Branch,66,69,71,74,74,76,77,78
55676,China Vanke Co,CNE0000000T2,10200674,22.88423,114.485,Multi-Use,72,72,72,74,76,77,80,82
12784,China,,493814,39.62806,118.2315,Bank Branch,76,79,77,76,77,77,79,78
16099,China,,545076,31.55627,118.4903,Bank Branch,62,64,65,67,71,70,71,72
52574,China,,500397,26.57842,106.7054,Bank Branch,63,66,67,71,76,79,80,82
49032,Jiangsu Shagang Co.,CNE000001P11,4984608,31.23037,121.473701,Company Headquarters,79,80,81,84,86,86,87,88
45172,China,,413331,23.55837,111.3599,Bank Branch,71,72,72,74,75,75,75,77
26870,China,,494405,37.61621,112.3544,Bank Branch,67,67,68,67,69,71,72,71
18368,China,,415182,37.00447,114.6846,Bank Branch,80,81,79,73,72,75,75,75
21529,China,,491871,38.90865,115.49,Bank Branch,81,82,79,73,74,74,74,74
47534,SASAC,,4535397,31.23037,121.473701,Instn Address,79,80,81,84,86,86,87,88
11225,SASAC,,1206316,30.43333,107.7333,Asset,67,71,70,77,83,85,88,89
1000,China,,392985,48.2416,126.5147,Bank Branch,69,68,68,71,73,72,74,77
44981,Chongqing Rural Commercial,CNE100000X44,289118,31.39655,109.624,Bank Branch,64,68,67,72,77,78,81,83
56068,China,,411352,21.22649,110.4132,Bank Branch,70,71,72,73,76,77,79,79
26375,Bank of Hangzhou,CNE100002GQ4,764795,31.18166,121.5006,Bank Branch,80,80,82,84,86,86,88,88
23663,China,,493211,24.52472,118.1034,Bank Branch,71,69,71,73,71,74,77,78
5810,China,,422060,40.26877,122.1353,Bank Branch,62,62,60,60,59,59,64,63
18274,Tianjin Rural Comm Bk Co. Ltd.,,826093,38.98126,116.9142,Bank Branch,75,75,70,64,65,67,68,67
4926,People's Gvt Shandong Province,,408044,39.11096,117.2389,Bank Branch,66,67,62,58,60,59,62,62
1853,Chongqing Rural Commercial,CNE100000X44,289132,31.37589,109.541,Bank Branch,64,68,67,72,77,78,81,83
5405,China,,392645,23.00362,113.7363,Bank Branch,65,66,63,67,68,69,71,73
39493,China,,608627,24.69158,108.0531,Bank Branch,68,73,73,78,83,86,85,88
56586,China Vanke Co,CNE0000000T2,10141096,22.86336,108.26791,Multi-Use,64,67,68,69,72,75,72,75
28643,Bank Xi'an Co.,CNE100003JB8,297664,34.23528,108.9598,Bank Branch,76,79,78,80,83,83,84,85
14289,SASAC,,10203699,22.51616,113.93711,Multi-Use,68,67,67,70,73,75,78,80
43135,China,,495035,33.74045,113.3168,Bank Branch,74,78,77,77,79,79,81,82
11406,China,,837043,27.84815,105.0378,Bank Branch,67,70,72,78,82,88,89,90
46585,China,,789136,24.5186,118.1156,Bank Branch,71,69,71,73,71,74,77,78
18141,Harbin Bank Co. Ltd.,CNE100001SB3,291321,45.79542,126.674,Bank Branch,63,63,63,67,70,68,73,75
11075,China,,426454,34.65761,109.2088,Bank Branch,76,79,78,78,81,81,82,84
31961,SASAC,,72027,36.91266,101.70803,Power Plant,71,69,73,75,81,83,85,86
51150,SASAC,,2257722,27.41914,116.6473,Electric Plant,68,70,73,76,79,79,82,82
15014,China,,451502,28.17448,112.9741,Bank Branch,67,67,69,70,74,73,75,77
2581,China,,392721,23.69744,113.033,Bank Branch,62,64,62,63,65,66,69,72
44643,SASAC,,10149951,34.15718,108.90529,Multi-Use,77,79,78,80,83,83,84,85
36330,Huishang Bank,CNE100001QP7,318562,31.85146,117.2815,Bank Branch,66,70,69,71,74,73,76,76
