,Ultimate Parent Name,Ultimate Parent ISIN,Asset ID,Latitude,Longitude,Activity Description,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
40923,SASAC,,4912938,31.244602,121.442721,Company Headquarters,79,80,81,84,86,86,87,88
14711,China,,429393,43.90984,89.58852,Bank Branch,84,77,76,78,81,80,83,85
4251,China Merchants Bank,CNE000001B33,319030,22.81242,108.388,Bank Branch,64,68,68,70,72,75,72,75
35539,China,,526751,22.22154,113.5536,Bank Branch,75,75,76,78,79,81,83,84
12901,China,,830712,40.1,116.5507,Bank Branch,76,75,74,72,73,72,74,73
49115,Industrial Bank,CNE000001QZ7,716855,28.11067,113.0058,Bank Branch,66,68,68,70,72,73,75,76
26606,Foshan State-owned Assets Supe,,69929,23.03131,113.0332,Power Plant,63,64,64,65,69,67,70,72
14488,China,,410186,24.14119,117.6035,Bank Branch,75,75,78,77,81,82,85,86
41616,Chen Ting Sen (PTC) Ltd.,,10182972,34.74571,112.997,Residential,71,77,79,78,80,80,80,82
56163,China,,417506,30.58732,114.2906,Bank Branch,62,64,67,68,71,69,73,73
35395,China,,426196,34.78412,108.5921,Bank Branch,78,81,80,82,86,87,88,89
15163,China Minsheng Banking,CNE0000015Y0,630481,35.02141,118.4021,Bank Branch,67,73,71,72,73,76,77,80
37394,China Minsheng Banking,CNE0000015Y0,775458,40.11409,116.4059,Bank Branch,76,75,74,72,73,71,73,73
24238,Bank of Comms Co. Ltd.,CNE100000205,359296,23.06773,114.4013,Bank Branch,69,70,67,69,69,70,71,72
20821,China,,444951,40.89475,112.5768,Bank Branch,83,83,81,82,84,83,86,87
26620,CIFI Holdings (Group) Co. Ltd.,KYG2140A1076,10195999,39.97385,116.57222,Residential,80,81,81,78,80,79,80,81
56097,China,,417443,30.87144,114.3742,Bank Branch,61,65,67,68,71,69,72,72
28410,China,,744459,36.61949,109.4528,Bank Branch,64,67,67,67,73,72,74,76
34263,Powerlong Real Estate Holdings,KYG720051047,10155872,30.90745,121.81121,Budget Hotel,76,76,79,83,86,86,89,90
38866,China,,453187,20.03175,110.3195,Bank Branch,70,72,75,75,78,81,81,82
25605,China,,498230,24.77513,112.3774,Bank Branch,67,68,70,72,72,75,76,78
42329,China,,431590,29.67409,106.306,Bank Branch,69,72,70,77,82,86,86,88
